cod_mun,municipio,populacao,ano_populacao,area_km2,densidade_hab_km2
3300100,Angra dos Reis,179142,2025,822.7909457798364,217.7248071564646
3300159,Aperibé,11426,2025,96.33838983182072,118.60277112734113
3300209,Araruama,137906,2025,649.4838835187606,212.33167365578905
3300225,Areal,12239,2025,112.21219820342422,109.0701385050179
3300233,Armação dos Búzios,42527,2025,72.51512252352795,586.4569833168505
3300258,Arraial do Cabo,32822,2025,155.35601065201854,211.26958565843904
3300407,Barra Mansa,181679,2025,553.0219534453521,328.52041201643357
3300308,Barra do Piraí,98506,2025,591.9644019616621,166.40527652265757
3300456,Belford Roxo,518384,2025,80.25939448462867,6458.8575995210285
3300506,Bom Jardim,29758,2025,389.2560637629568,76.44839161226676
3300605,Bom Jesus do Itabapoana,37176,2025,608.5092573976574,61.093565213759256
3300704,Cabo Frio,238438,2025,421.62680215031963,565.5190770225072
3300803,Cachoeiras de Macacu,59861,2025,970.4779543073289,61.681978178190896
3300902,Cambuci,15069,2025,568.966909393832,26.484844287437145
3301009,Campos dos Goytacazes,519259,2025,4116.38826101069,126.14432047585987
3301108,Cantagalo,19995,2025,760.4450078731197,26.29381453357659
3300936,Carapebus,14329,2025,311.5803614249613,45.98813588400978
3301157,Cardoso Moreira,13407,2025,532.9358637714348,25.156873296389723
3301207,Carmo,17741,2025,310.81381596658633,57.07918724535471
3301306,Casimiro de Abreu,48636,2025,471.26436217243327,103.20322074811236
3300951,Comendador Levy Gasparian,9048,2025,110.324699216959,82.01246016729816
3301405,Conceição de Macabu,21770,2025,344.57500548062245,63.17927781684171
3301504,Cordeiro,21448,2025,115.01852574255824,186.4743080432649
3301603,Duas Barras,11355,2025,386.1979277842102,29.402022080099446
3301702,Duque de Caxias,866225,2025,473.8409527886792,1828.0923058719113
3301801,Engenheiro Paulo de Frontin,12644,2025,141.21725988528442,89.53579760909645
3301850,Guapimirim,54311,2025,364.1309406431799,149.15238980809536
3301876,Iguaba Grande,29616,2025,52.08078054498053,568.6550717960457
3301900,Itaboraí,240127,2025,436.793993325834,549.7488602616226
3302007,Itaguaí,124021,2025,285.9966215359747,433.64498270620214
3302056,Italva,14518,2025,297.0845047606716,48.86825050567871
3302106,Itaocara,23645,2025,441.30869862718583,53.579274719837585
3302205,Itaperuna,107297,2025,1128.440321946367,95.08433712731124
3302254,Itatiaia,32713,2025,243.40519712199546,134.39729466254633
3302270,Japeri,102171,2025,82.90707423829937,1232.3556335654835
3302304,Laje do Muriaé,7584,2025,258.1658876746373,29.376460493332118
3302403,Macaé,264439,2025,1240.6013634046974,213.1538847210965
3302452,Macuco,5602,2025,79.70145621969544,70.28729794545035
